case_id,account_id,free_text_note,typology_label,created_at
CASE00022,ACC000829,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:32
CASE00023,ACC002323,"Customer made 5 transfers of NAD 15001 each, consistent with structuring.",structuring,2026-09-14 15:40:46
CASE00024,ACC004866,Account linked to 5 other accounts sharing device DEV002265.,mule_network,2026-09-14 15:44:55
CASE00025,ACC004447,Account linked to 8 other accounts sharing device DEV008499.,mule_network,2026-09-14 15:40:45
CASE00026,ACC002353,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:06
CASE00027,ACC004395,Account linked to 10 other accounts sharing device DEV007723.,mule_network,2026-09-14 15:41:23
CASE00028,ACC000504,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:02
CASE00029,ACC004796,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:17
CASE00030,ACC000628,Account linked to 9 other accounts sharing device DEV006953.,mule_network,2026-09-14 15:43:58
CASE00031,ACC004740,Login from Taylorstad followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:45:45
CASE00032,ACC004445,MFA challenged 12 times within 36 minutes from new device.,account_takeover,2026-09-14 15:40:18
CASE00033,ACC002887,Funds received from 11 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:33
CASE00034,ACC002094,"Multiple cash deposits just below the NAD 50,000 threshold over 5 days.",structuring,2026-09-14 15:43:08
CASE00035,ACC003308,MFA challenged 5 times within 46 minutes from new device.,account_takeover,2026-09-14 15:45:59
CASE00036,ACC001253,"Customer made 10 transfers of NAD 92808 each, consistent with structuring.",structuring,2026-09-14 15:44:03
CASE00037,ACC000705,Funds received from 6 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:59
CASE00038,ACC003150,"Customer made 7 transfers of NAD 23139 each, consistent with structuring.",structuring,2026-09-14 15:45:55
CASE00039,ACC000206,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:38
CASE00040,ACC004062,"Multiple cash deposits just below the NAD 25,000 threshold over 5 days.",structuring,2026-09-14 15:40:17
CASE00041,ACC003078,Funds received from 8 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:07
CASE00042,ACC003321,Account linked to 11 other accounts sharing device DEV004221.,mule_network,2026-09-14 15:46:05
CASE00043,ACC002208,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:26
CASE00044,ACC003968,MFA challenged 11 times within 58 minutes from new device.,account_takeover,2026-09-14 15:44:02
CASE00045,ACC003588,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:41:41
CASE00046,ACC000333,"Multiple cash deposits just below the NAD 10,000 threshold over 3 days.",structuring,2026-09-14 15:41:13
CASE00047,ACC000468,"Multiple cash deposits just below the NAD 50,000 threshold over 5 days.",structuring,2026-09-14 15:40:55
CASE00048,ACC000393,Login from Kimberlyview followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:41:36
CASE00049,ACC002451,Account linked to 9 other accounts sharing device DEV002342.,mule_network,2026-09-14 15:43:58
CASE00050,ACC000818,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:42:15
CASE00051,ACC004853,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:31
CASE00052,ACC000335,"Customer made 11 transfers of NAD 77598 each, consistent with structuring.",structuring,2026-09-14 15:41:00
CASE00053,ACC002591,"Multiple cash deposits just below the NAD 50,000 threshold over 2 days.",structuring,2026-09-14 15:40:31
CASE00054,ACC001001,MFA challenged 11 times within 10 minutes from new device.,account_takeover,2026-09-14 15:42:00
CASE00055,ACC004395,MFA challenged 6 times within 5 minutes from new device.,account_takeover,2026-09-14 15:41:41
CASE00056,ACC000373,"Multiple cash deposits just below the NAD 10,000 threshold over 11 days.",structuring,2026-09-14 15:41:47
CASE00057,ACC002138,"Customer made 11 transfers of NAD 16995 each, consistent with structuring.",structuring,2026-09-14 15:45:43
CASE00058,ACC000838,"Multiple cash deposits just below the NAD 50,000 threshold over 5 days.",structuring,2026-09-14 15:45:39
CASE00059,ACC004209,Funds received from 5 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:40:28
CASE00060,ACC002286,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:19
CASE00061,ACC000482,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:20
CASE00062,ACC001939,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:40
CASE00063,ACC001907,"Multiple cash deposits just below the NAD 10,000 threshold over 4 days.",structuring,2026-09-14 15:44:46
CASE00064,ACC000915,MFA challenged 10 times within 15 minutes from new device.,account_takeover,2026-09-14 15:45:36
CASE00065,ACC002801,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:03
CASE00066,ACC004183,"Customer made 7 transfers of NAD 46200 each, consistent with structuring.",structuring,2026-09-14 15:40:51
CASE00067,ACC002138,Account linked to 11 other accounts sharing device DEV000605.,mule_network,2026-09-14 15:43:23
CASE00068,ACC003543,MFA challenged 8 times within 15 minutes from new device.,account_takeover,2026-09-14 15:44:01
CASE00069,ACC001055,"Customer made 2 transfers of NAD 71319 each, consistent with structuring.",structuring,2026-09-14 15:44:02
CASE00070,ACC000705,Account linked to 9 other accounts sharing device DEV008778.,mule_network,2026-09-14 15:42:51
CASE00071,ACC001370,"Multiple cash deposits just below the NAD 10,000 threshold over 8 days.",structuring,2026-09-14 15:44:18
CASE00072,ACC000567,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:40:34
CASE00073,ACC002342,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:45:51
CASE00074,ACC003000,MFA challenged 11 times within 54 minutes from new device.,account_takeover,2026-09-14 15:41:25
CASE00075,ACC003634,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:06
CASE00076,ACC000486,"Multiple cash deposits just below the NAD 25,000 threshold over 13 days.",structuring,2026-09-14 15:41:52
CASE00077,ACC002663,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:57
CASE00078,ACC001020,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:26
CASE00079,ACC001600,"Multiple cash deposits just below the NAD 50,000 threshold over 5 days.",structuring,2026-09-14 15:44:49
CASE00080,ACC004101,MFA challenged 2 times within 45 minutes from new device.,account_takeover,2026-09-14 15:43:37
CASE00081,ACC003992,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:42:25
CASE00082,ACC003362,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:51
CASE00083,ACC004153,Funds received from 4 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:16
CASE00084,ACC004068,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:17
CASE00085,ACC000589,Funds received from 12 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:56
CASE00086,ACC000168,"Multiple cash deposits just below the NAD 10,000 threshold over 12 days.",structuring,2026-09-14 15:41:55
CASE00087,ACC004635,"Multiple cash deposits just below the NAD 50,000 threshold over 4 days.",structuring,2026-09-14 15:42:18
CASE00088,ACC000079,"Customer made 10 transfers of NAD 87288 each, consistent with structuring.",structuring,2026-09-14 15:41:16
CASE00089,ACC000029,MFA challenged 8 times within 28 minutes from new device.,account_takeover,2026-09-14 15:42:32
CASE00090,ACC003752,"Customer made 4 transfers of NAD 26456 each, consistent with structuring.",structuring,2026-09-14 15:40:59
CASE00091,ACC004912,"Customer made 3 transfers of NAD 36276 each, consistent with structuring.",structuring,2026-09-14 15:43:07
CASE00092,ACC004487,Account linked to 6 other accounts sharing device DEV008282.,mule_network,2026-09-14 15:41:17
CASE00093,ACC002940,"Customer made 11 transfers of NAD 48495 each, consistent with structuring.",structuring,2026-09-14 15:45:21
CASE00094,ACC004062,MFA challenged 5 times within 52 minutes from new device.,account_takeover,2026-09-14 15:41:01
CASE00095,ACC004749,MFA challenged 10 times within 54 minutes from new device.,account_takeover,2026-09-14 15:46:04
CASE00096,ACC001755,Account linked to 11 other accounts sharing device DEV006144.,mule_network,2026-09-14 15:44:06
CASE00097,ACC001670,MFA challenged 12 times within 15 minutes from new device.,account_takeover,2026-09-14 15:44:23
CASE00098,ACC001583,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:10
CASE00099,ACC000755,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:42:18
CASE00100,ACC000931,"Multiple cash deposits just below the NAD 10,000 threshold over 8 days.",structuring,2026-09-14 15:42:22
CASE00101,ACC004846,Login from Port Jeffreymouth followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:10
CASE00102,ACC002659,Funds received from 9 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:31
CASE00103,ACC004635,MFA challenged 4 times within 31 minutes from new device.,account_takeover,2026-09-14 15:44:28
CASE00104,ACC003297,"Multiple cash deposits just below the NAD 25,000 threshold over 6 days.",structuring,2026-09-14 15:43:55
CASE00105,ACC002575,Account linked to 8 other accounts sharing device DEV009857.,mule_network,2026-09-14 15:42:48
CASE00106,ACC003821,MFA challenged 8 times within 23 minutes from new device.,account_takeover,2026-09-14 15:40:43
CASE00107,ACC000393,"Customer made 11 transfers of NAD 16785 each, consistent with structuring.",structuring,2026-09-14 15:45:53
CASE00108,ACC004121,"Customer made 5 transfers of NAD 26475 each, consistent with structuring.",structuring,2026-09-14 15:43:23
CASE00109,ACC000116,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:41:25
CASE00110,ACC004524,"Customer made 12 transfers of NAD 71661 each, consistent with structuring.",structuring,2026-09-14 15:44:40
CASE00111,ACC004062,Account linked to 5 other accounts sharing device DEV007016.,mule_network,2026-09-14 15:44:00
CASE00112,ACC000029,Account linked to 8 other accounts sharing device DEV007551.,mule_network,2026-09-14 15:40:57
CASE00113,ACC003380,MFA challenged 11 times within 55 minutes from new device.,account_takeover,2026-09-14 15:44:48
CASE00114,ACC000227,"Customer made 12 transfers of NAD 51837 each, consistent with structuring.",structuring,2026-09-14 15:45:48
CASE00115,ACC001335,MFA challenged 5 times within 10 minutes from new device.,account_takeover,2026-09-14 15:44:55
CASE00116,ACC000792,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:44:08
CASE00117,ACC001304,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:40:24
CASE00118,ACC004697,Login from Port Dawn followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:45
CASE00119,ACC004153,"Multiple cash deposits just below the NAD 50,000 threshold over 9 days.",structuring,2026-09-14 15:43:56
CASE00120,ACC001144,"Multiple cash deposits just below the NAD 25,000 threshold over 11 days.",structuring,2026-09-14 15:41:33
CASE00121,ACC002112,"Multiple cash deposits just below the NAD 10,000 threshold over 3 days.",structuring,2026-09-14 15:46:00
CASE00122,ACC000814,Funds received from 5 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:56
CASE00123,ACC003601,"Customer made 7 transfers of NAD 44641 each, consistent with structuring.",structuring,2026-09-14 15:40:53
CASE00124,ACC002950,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:41:49
CASE00125,ACC000240,Account linked to 8 other accounts sharing device DEV000574.,mule_network,2026-09-14 15:45:28
CASE00126,ACC004183,"Customer made 8 transfers of NAD 44895 each, consistent with structuring.",structuring,2026-09-14 15:42:40
CASE00127,ACC003864,Funds received from 2 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:30
CASE00128,ACC003599,"Customer made 9 transfers of NAD 10552 each, consistent with structuring.",structuring,2026-09-14 15:41:14
CASE00129,ACC004315,"Multiple cash deposits just below the NAD 10,000 threshold over 12 days.",structuring,2026-09-14 15:40:35
CASE00130,ACC002633,Login from Jenniferfurt followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:25
CASE00131,ACC000915,MFA challenged 6 times within 26 minutes from new device.,account_takeover,2026-09-14 15:41:27
CASE00132,ACC000838,MFA challenged 5 times within 37 minutes from new device.,account_takeover,2026-09-14 15:41:06
CASE00133,ACC004424,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:40
CASE00134,ACC002185,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:49
CASE00135,ACC003543,MFA challenged 8 times within 48 minutes from new device.,account_takeover,2026-09-14 15:45:52
CASE00136,ACC003752,Funds received from 3 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:00
CASE00137,ACC001615,Funds received from 11 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:47
CASE00138,ACC000931,"Customer made 12 transfers of NAD 50398 each, consistent with structuring.",structuring,2026-09-14 15:42:54
CASE00139,ACC003351,Login from Fergusonstad followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:39
CASE00140,ACC002575,MFA challenged 9 times within 22 minutes from new device.,account_takeover,2026-09-14 15:42:14
CASE00141,ACC003557,"Customer made 3 transfers of NAD 62319 each, consistent with structuring.",structuring,2026-09-14 15:44:32
CASE00142,ACC000168,MFA challenged 6 times within 42 minutes from new device.,account_takeover,2026-09-14 15:43:49
CASE00143,ACC001685,MFA challenged 2 times within 36 minutes from new device.,account_takeover,2026-09-14 15:44:02
CASE00144,ACC000589,Login from Haleyberg followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:29
CASE00145,ACC003021,Account linked to 8 other accounts sharing device DEV002964.,mule_network,2026-09-14 15:42:13
CASE00146,ACC002215,Funds received from 3 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:41:12
CASE00147,ACC002220,"Multiple cash deposits just below the NAD 25,000 threshold over 6 days.",structuring,2026-09-14 15:45:19
CASE00148,ACC003181,"Multiple cash deposits just below the NAD 10,000 threshold over 6 days.",structuring,2026-09-14 15:40:40
CASE00149,ACC000931,"Customer made 2 transfers of NAD 75149 each, consistent with structuring.",structuring,2026-09-14 15:44:38
CASE00150,ACC000642,Login from Robertberg followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:45:18
CASE00151,ACC000468,"Multiple cash deposits just below the NAD 10,000 threshold over 8 days.",structuring,2026-09-14 15:41:35
CASE00152,ACC003875,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:40:19
CASE00153,ACC004209,"Multiple cash deposits just below the NAD 25,000 threshold over 2 days.",structuring,2026-09-14 15:45:00
CASE00154,ACC001057,Funds received from 7 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:00
CASE00155,ACC000787,Account linked to 3 other accounts sharing device DEV006763.,mule_network,2026-09-14 15:41:11
CASE00156,ACC002142,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:44:32
CASE00157,ACC003351,MFA challenged 10 times within 18 minutes from new device.,account_takeover,2026-09-14 15:45:27
CASE00158,ACC002011,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:30
CASE00159,ACC001600,Account linked to 9 other accounts sharing device DEV000108.,mule_network,2026-09-14 15:42:00
CASE00160,ACC002014,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:28
CASE00161,ACC003899,Login from Tinafurt followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:42:13
CASE00162,ACC004207,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:09
CASE00163,ACC003752,MFA challenged 3 times within 60 minutes from new device.,account_takeover,2026-09-14 15:40:56
CASE00164,ACC002323,"Multiple cash deposits just below the NAD 25,000 threshold over 11 days.",structuring,2026-09-14 15:42:58
CASE00165,ACC004932,"Customer made 4 transfers of NAD 42052 each, consistent with structuring.",structuring,2026-09-14 15:44:22
CASE00166,ACC004524,Login from Johnhaven followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:42:58
CASE00167,ACC002513,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:05
CASE00168,ACC001055,"Multiple cash deposits just below the NAD 50,000 threshold over 9 days.",structuring,2026-09-14 15:40:08
CASE00169,ACC000486,Login from Clarkfort followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:42:08
CASE00170,ACC002570,MFA challenged 10 times within 45 minutes from new device.,account_takeover,2026-09-14 15:45:01
CASE00171,ACC001001,Funds received from 5 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:41:56
CASE00172,ACC002152,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:45:35
CASE00173,ACC000311,Login from Smithland followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:45:19
CASE00174,ACC003906,Funds received from 10 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:01
CASE00175,ACC003804,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:44:54
CASE00176,ACC001073,"Multiple cash deposits just below the NAD 25,000 threshold over 6 days.",structuring,2026-09-14 15:45:07
CASE00177,ACC000501,"Customer made 10 transfers of NAD 57085 each, consistent with structuring.",structuring,2026-09-14 15:45:48
CASE00178,ACC002413,Account linked to 11 other accounts sharing device DEV000685.,mule_network,2026-09-14 15:42:11
CASE00179,ACC001522,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:38
CASE00180,ACC002776,Login from North Michael followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:56
CASE00181,ACC001945,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:41:27
CASE00182,ACC000065,Account linked to 9 other accounts sharing device DEV002623.,mule_network,2026-09-14 15:41:08
CASE00183,ACC003456,"Customer made 10 transfers of NAD 75176 each, consistent with structuring.",structuring,2026-09-14 15:40:13
CASE00184,ACC002519,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:40:56
CASE00185,ACC000964,Login from East Sarah followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:48
CASE00186,ACC004487,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:07
CASE00187,ACC002642,MFA challenged 11 times within 37 minutes from new device.,account_takeover,2026-09-14 15:42:24
CASE00188,ACC002887,Account linked to 5 other accounts sharing device DEV006999.,mule_network,2026-09-14 15:46:04
CASE00189,ACC000079,"Customer made 12 transfers of NAD 28986 each, consistent with structuring.",structuring,2026-09-14 15:42:59
CASE00190,ACC003599,"Multiple cash deposits just below the NAD 25,000 threshold over 9 days.",structuring,2026-09-14 15:45:17
CASE00191,ACC002887,Login from Ryanmouth followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:45:52
CASE00192,ACC004890,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:42:05
CASE00193,ACC001335,Funds received from 10 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:45
CASE00194,ACC001057,"Customer made 6 transfers of NAD 37394 each, consistent with structuring.",structuring,2026-09-14 15:45:31
CASE00195,ACC004256,MFA challenged 11 times within 13 minutes from new device.,account_takeover,2026-09-14 15:40:18
CASE00196,ACC004121,Funds received from 2 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:42:32
CASE00197,ACC000227,Account linked to 7 other accounts sharing device DEV005868.,mule_network,2026-09-14 15:40:48
CASE00198,ACC000769,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:06
CASE00199,ACC000711,Account linked to 8 other accounts sharing device DEV003173.,mule_network,2026-09-14 15:44:35
CASE00200,ACC003599,"Multiple cash deposits just below the NAD 25,000 threshold over 12 days.",structuring,2026-09-14 15:40:45
CASE00201,ACC004721,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:42:07
CASE00202,ACC004635,"Multiple cash deposits just below the NAD 10,000 threshold over 7 days.",structuring,2026-09-14 15:41:28
CASE00203,ACC003682,Account linked to 10 other accounts sharing device DEV007498.,mule_network,2026-09-14 15:45:15
CASE00204,ACC003340,Account linked to 5 other accounts sharing device DEV002745.,mule_network,2026-09-14 15:41:22
CASE00205,ACC002441,Funds received from 4 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:16
CASE00206,ACC004638,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:42:43
CASE00207,ACC004343,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:20
CASE00208,ACC000393,MFA challenged 7 times within 20 minutes from new device.,account_takeover,2026-09-14 15:44:23
CASE00209,ACC003024,"Customer made 5 transfers of NAD 24445 each, consistent with structuring.",structuring,2026-09-14 15:40:49
CASE00210,ACC003585,"Customer made 9 transfers of NAD 64173 each, consistent with structuring.",structuring,2026-09-14 15:42:33
CASE00211,ACC002413,Login from Port Nancyfort followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:58
CASE00212,ACC003543,Account linked to 2 other accounts sharing device DEV004262.,mule_network,2026-09-14 15:40:26
CASE00213,ACC000926,MFA challenged 12 times within 33 minutes from new device.,account_takeover,2026-09-14 15:42:18
CASE00214,ACC002820,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:45:32
CASE00215,ACC000065,Funds received from 12 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:42:41
CASE00216,ACC003682,Login from New Glenntown followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:32
CASE00217,ACC000481,Login from Navarrofort followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:39
CASE00218,ACC000173,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:43:00
CASE00219,ACC001487,Account linked to 3 other accounts sharing device DEV006202.,mule_network,2026-09-14 15:44:35
CASE00220,ACC001406,Account linked to 8 other accounts sharing device DEV008741.,mule_network,2026-09-14 15:43:51
CASE00221,ACC003906,Account linked to 3 other accounts sharing device DEV006104.,mule_network,2026-09-14 15:45:33
CASE00222,ACC003752,"Multiple cash deposits just below the NAD 10,000 threshold over 10 days.",structuring,2026-09-14 15:42:26
CASE00223,ACC002570,"Customer made 2 transfers of NAD 5645 each, consistent with structuring.",structuring,2026-09-14 15:45:50
CASE00224,ACC004352,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:45:37
CASE00225,ACC001164,Login from Brownport followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:43:05
CASE00226,ACC004797,"Customer made 6 transfers of NAD 14857 each, consistent with structuring.",structuring,2026-09-14 15:42:42
CASE00227,ACC004121,Funds received from 4 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:24
CASE00228,ACC003682,Account linked to 7 other accounts sharing device DEV009494.,mule_network,2026-09-14 15:44:25
CASE00229,ACC004066,Funds received from 11 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:41:11
CASE00230,ACC004183,Funds received from 5 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:02
CASE00231,ACC002575,MFA challenged 12 times within 51 minutes from new device.,account_takeover,2026-09-14 15:44:51
CASE00232,ACC001144,"Customer made 11 transfers of NAD 22461 each, consistent with structuring.",structuring,2026-09-14 15:45:22
CASE00233,ACC001295,Account linked to 10 other accounts sharing device DEV009830.,mule_network,2026-09-14 15:45:09
CASE00234,ACC003049,MFA challenged 9 times within 60 minutes from new device.,account_takeover,2026-09-14 15:44:47
CASE00235,ACC002686,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:43:49
CASE00236,ACC001600,Login from Evelynfurt followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:40:59
CASE00237,ACC003752,MFA challenged 4 times within 7 minutes from new device.,account_takeover,2026-09-14 15:40:57
CASE00238,ACC003580,Account linked to 3 other accounts sharing device DEV008115.,mule_network,2026-09-14 15:43:59
CASE00239,ACC004445,Login from South Sarah followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:45:55
CASE00240,ACC001659,Salary deposit and routine bill payments observed.,legitimate,2026-09-14 15:41:11
CASE00241,ACC000084,Login from South Jefferyport followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:44:16
CASE00242,ACC000794,Funds received from 10 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:17
CASE00243,ACC003557,"Multiple cash deposits just below the NAD 50,000 threshold over 11 days.",structuring,2026-09-14 15:40:35
CASE00244,ACC000200,Login from Lake Williamborough followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:44:12
CASE00245,ACC000838,Funds received from 11 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:40:35
CASE00246,ACC001295,Login from North Melanie followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:44:50
CASE00247,ACC001295,MFA challenged 9 times within 39 minutes from new device.,account_takeover,2026-09-14 15:45:30
CASE00248,ACC000705,"Multiple cash deposits just below the NAD 25,000 threshold over 8 days.",structuring,2026-09-14 15:40:27
CASE00249,ACC001413,Funds received from 2 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:04
CASE00250,ACC003001,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:44:29
CASE00251,ACC001295,Funds received from 2 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:45:38
CASE00252,ACC002159,Customer confirmed transaction via branch visit.,legitimate,2026-09-14 15:41:52
CASE00253,ACC002468,Login from Annton followed by password reset and beneficiary change.,account_takeover,2026-09-14 15:41:14
CASE00254,ACC004866,Funds received from 5 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:43:38
CASE00255,ACC002451,Funds received from 11 unrelated parties and transferred out within minutes.,mule_network,2026-09-14 15:44:28
CASE00256,ACC003321,MFA challenged 2 times within 15 minutes from new device.,account_takeover,2026-09-14 15:40:15
CASE00257,ACC000084,"Multiple cash deposits just below the NAD 25,000 threshold over 2 days.",structuring,2026-09-14 15:45:57
